property,property,property,property,actual,predicted
422.4,192,281.6,89.6,Iris-versicolor,Iris-versicolor
352,147.2,256,83.2,Iris-versicolor,Iris-versicolor
416,179.2,294.4,96,Iris-versicolor,Iris-versicolor
313.6,192,89.6,12.8,Iris-setosa,Iris-setosa
300.8,204.8,83.2,12.8,Iris-setosa,Iris-setosa
352,224,83.2,12.8,Iris-setosa,Iris-setosa
326.4,217.6,96,12.8,Iris-setosa,Iris-setosa
384,217.6,288,102.4,Iris-versicolor,Iris-versicolor
281.6,204.8,83.2,12.8,Iris-setosa,Iris-setosa
307.2,192,89.6,19.2,Iris-setosa,Iris-setosa
377.6,192,268.8,96,Iris-versicolor,Iris-versicolor
320,204.8,76.8,12.8,Iris-setosa,Iris-setosa
345.6,249.6,108.8,25.6,Iris-setosa,Iris-setosa
428.8,198.4,300.8,96,Iris-versicolor,Iris-versicolor
403.2,160,313.6,96,Iris-versicolor,Iris-versicolor
403.2,211.2,300.8,102.4,Iris-versicolor,Iris-versicolor
435.2,179.2,307.2,89.6,Iris-versicolor,Iris-versicolor
358.4,192,288,96,Iris-versicolor,Iris-versicolor
326.4,243.2,121.6,25.6,Iris-setosa,Iris-setosa
294.4,198.4,96,12.8,Iris-setosa,Iris-setosa
300.8,204.8,102.4,12.8,Iris-setosa,Iris-setosa
364.8,243.2,108.8,19.2,Iris-setosa,Iris-setosa
358.4,185.6,230.4,83.2,Iris-versicolor,Iris-versicolor
281.6,185.6,89.6,12.8,Iris-setosa,Iris-setosa
371.2,172.8,249.6,76.8,Iris-versicolor,Iris-versicolor
409.6,185.6,275.2,83.2,Iris-versicolor,Iris-versicolor
364.8,179.2,262.4,83.2,Iris-versicolor,Iris-versicolor
275.2,192,70.4,6.4,Iris-setosa,Iris-setosa
396.8,140.8,288,96,Iris-versicolor,Iris-versicolor
332.8,217.6,89.6,12.8,Iris-setosa,Iris-setosa
345.6,217.6,108.8,12.8,Iris-setosa,Iris-setosa
371.2,256,76.8,12.8,Iris-setosa,Iris-setosa
320,224,102.4,38.4,Iris-setosa,Iris-setosa
313.6,198.4,96,6.4,Iris-setosa,Iris-setosa
332.8,172.8,249.6,89.6,Iris-versicolor,Iris-versicolor
313.6,198.4,96,6.4,Iris-setosa,Iris-setosa
307.2,192,89.6,6.4,Iris-setosa,Iris-setosa
390.4,185.6,300.8,89.6,Iris-versicolor,Iris-versicolor
364.8,179.2,288,83.2,Iris-versicolor,Iris-versicolor
294.4,204.8,89.6,12.8,Iris-setosa,Iris-setosa
307.2,217.6,121.6,12.8,Iris-setosa,Iris-setosa
294.4,230.4,64,12.8,Iris-setosa,Iris-setosa
320,217.6,96,12.8,Iris-setosa,Iris-setosa
326.4,243.2,102.4,12.8,Iris-setosa,Iris-setosa
281.6,192,83.2,12.8,Iris-setosa,Iris-setosa
294.4,217.6,89.6,19.2,Iris-setosa,Iris-setosa
320,230.4,89.6,12.8,Iris-setosa,Iris-setosa
313.6,153.6,211.2,64,Iris-versicolor,Iris-versicolor
345.6,192,288,96,Iris-versicolor,Iris-versicolor
326.4,160,192,70.4,Iris-versicolor,Iris-versicolor
390.4,179.2,256,83.2,Iris-versicolor,Iris-versicolor
339.2,236.8,96,12.8,Iris-setosa,Iris-setosa
326.4,211.2,108.8,32,Iris-setosa,Iris-setosa
320,224,83.2,19.2,Iris-setosa,Iris-setosa
332.8,224,96,12.8,Iris-setosa,Iris-setosa
352,160,256,83.2,Iris-versicolor,Iris-versicolor
313.6,198.4,96,6.4,Iris-setosa,Iris-setosa
396.8,185.6,275.2,83.2,Iris-versicolor,Iris-versicolor
377.6,204.8,307.2,115.2,Iris-versicolor,Iris-versicolor
384,185.6,288,96,Iris-versicolor,Iris-versicolor
390.4,179.2,300.8,76.8,Iris-versicolor,Iris-versicolor
320,217.6,102.4,25.6,Iris-setosa,Iris-setosa
358.4,160,249.6,70.4,Iris-versicolor,Iris-versicolor
428.8,198.4,281.6,89.6,Iris-versicolor,Iris-versicolor
371.2,166.4,256,76.8,Iris-versicolor,Iris-versicolor
364.8,166.4,224,64,Iris-versicolor,Iris-versicolor
320,192,102.4,12.8,Iris-setosa,Iris-setosa
326.4,236.8,96,25.6,Iris-setosa,Iris-setosa
320,211.2,89.6,12.8,Iris-setosa,Iris-setosa
384,172.8,326.4,102.4,Iris-versicolor,Iris-versicolor
441.6,198.4,313.6,96,Iris-versicolor,Iris-versicolor
345.6,217.6,96,25.6,Iris-setosa,Iris-setosa
352,153.6,243.2,70.4,Iris-versicolor,Iris-versicolor
358.4,172.8,268.8,83.2,Iris-versicolor,Iris-versicolor
409.6,204.8,288,96,Iris-versicolor,Iris-versicolor
390.4,192,294.4,89.6,Iris-versicolor,Iris-versicolor
364.8,281.6,96,25.6,Iris-setosa,Iris-setosa
364.8,192,268.8,76.8,Iris-versicolor,Iris-versicolor
307.2,198.4,102.4,12.8,Iris-setosa,Iris-setosa
326.4,224,89.6,12.8,Iris-setosa,Iris-setosa
